Date,Close, Volume
11/5/2012,43.49,2249270
11/2/2012,44.23,1999769
11/1/2012,44.39,1860614
10/31/2012,44.44,2416282
10/26/2012,43.95,6276729
10/25/2012,43.91,6292562
10/24/2012,43.82,3822554
10/23/2012,44.62,1893207
10/22/2012,44.95,1765897
10/19/2012,44.98,2096703
10/18/2012,45.27,2151168
10/17/2012,45.02,2420454
10/16/2012,44.56,1345424
10/15/2012,44.51,1574766
10/12/2012,44.12,1344232
10/11/2012,44.24,1722839
10/10/2012,44.08,1824426
10/9/2012,44.43,1320403
10/8/2012,44.36,1250538
10/5/2012,44.22,1873928
10/4/2012,44.46,1600024
10/3/2012,44.44,1671288
10/2/2012,44.17,1701269
10/1/2012,43.91,1540270
9/28/2012,43.94,2554123
9/27/2012,43.82,2641282
9/26/2012,44.36,1783177
9/25/2012,44.36,1999179
9/24/2012,44.45,1993915
9/21/2012,44.01,3004959
9/20/2012,43.97,1932793
9/19/2012,43.83,2028452
9/18/2012,43.52,2243675
9/17/2012,43.57,1868654
9/14/2012,43.66,3515943
9/13/2012,43.96,2205061
9/12/2012,43.50,2308499
9/11/2012,43.43,1462082
9/10/2012,43.39,1560423
9/7/2012,43.46,1954854
9/6/2012,43.52,2058277
9/5/2012,42.95,1588378
9/4/2012,43.14,2068734
8/31/2012,42.99,2691000
8/30/2012,42.80,1693111
8/29/2012,42.98,2025151
8/28/2012,42.89,1898053
8/27/2012,42.81,2271472
8/24/2012,42.80,2110865
8/23/2012,42.60,2708523
8/22/2012,42.61,1548630
8/21/2012,42.65,2210622
8/20/2012,43.11,1986474
8/17/2012,43.07,2082014
8/16/2012,43.25,2638663
8/15/2012,43.16,2307109
8/14/2012,43.37,4242215
8/13/2012,43.46,3063263
8/10/2012,43.55,4505686
8/9/2012,43.37,6678304
8/8/2012,42.35,5003363
8/7/2012,42.10,5469074
8/6/2012,42.39,1755005
8/3/2012,42.34,2102932
8/2/2012,41.82,3138706
8/1/2012,42.18,2934698
7/31/2012,42.24,3149702
7/30/2012,42.57,1839557
7/27/2012,42.42,2788832
7/26/2012,41.95,2510649
7/25/2012,41.22,2612327
7/24/2012,41.44,2746888
7/23/2012,41.69,2296037
7/20/2012,41.93,3323263
7/19/2012,42.00,2908206
7/18/2012,41.91,2429899
7/17/2012,41.91,2549600
7/16/2012,41.86,2622865
7/13/2012,41.69,2295464
7/12/2012,41.34,2975794
7/11/2012,41.11,2776357
7/10/2012,41.03,3245988
7/9/2012,40.88,2341046
7/6/2012,40.96,2656616
7/5/2012,41.04,3935977
7/3/2012,41.01,3970493
7/2/2012,40.42,5012294
6/29/2012,39.90,3530055
6/28/2012,39.93,1854360
6/27/2012,39.73,1771990
6/26/2012,39.39,1847546
6/25/2012,39.17,2164378
6/22/2012,39.25,2151496
6/21/2012,39.10,2962004
6/20/2012,39.64,2630153
6/19/2012,40.02,3358532
6/18/2012,40.07,2457480
6/15/2012,39.94,4295498
6/14/2012,39.84,3144535
6/13/2012,39.71,2125161
6/12/2012,39.73,2013897
6/11/2012,39.57,2591080
6/8/2012,39.72,2082772
6/7/2012,39.48,2760159
6/6/2012,39.48,8278216
6/5/2012,38.92,3965287
6/4/2012,38.42,2438757
6/1/2012,38.39,3229630
5/31/2012,38.51,2871616
5/30/2012,38.20,2901849
5/29/2012,38.47,2408597
5/25/2012,38.23,1915554
5/24/2012,37.98,2044535
5/23/2012,37.79,2905687
5/22/2012,38.06,2545780
5/21/2012,37.83,3510516
5/18/2012,37.75,5186183
5/17/2012,37.43,2518245
5/16/2012,37.60,2886718
5/15/2012,37.62,4425793
5/14/2012,38.26,3205733
5/11/2012,38.45,3611390
5/10/2012,38.36,2489386
5/9/2012,38.22,3367096
5/8/2012,38.12,3141257
5/7/2012,38.52,3292502
5/4/2012,38.58,2665378
5/3/2012,38.55,2988316
5/2/2012,38.80,3200523
5/1/2012,38.88,3294204
4/30/2012,38.84,12331240
4/27/2012,38.70,9743623
4/26/2012,38.61,11299280
4/25/2012,38.49,2561708
4/24/2012,38.27,2616369
4/23/2012,38.05,3493856
4/20/2012,38.33,3833911
4/19/2012,37.89,3538928
4/18/2012,38.00,2243795
4/17/2012,37.99,3030293
4/16/2012,37.76,7810718
4/13/2012,37.31,2558530
4/12/2012,37.37,5655612
4/11/2012,37.27,3851987
4/10/2012,37.22,7326049
4/9/2012,37.81,4027778
