Date,Volume,Close
30/11/2011,101484600,51.71
1/12/2011,96795300,52.48
2/12/2011,94763900,52.72
5/12/2011,89302500,53.17
6/12/2011,70899500,52.89
7/12/2011,76186600,52.64
8/12/2011,94089100,52.85
9/12/2011,74248300,53.25
12/12/2011,75266800,53.01
13/12/2011,84732200,52.6
14/12/2011,101721900,51.43
15/12/2011,64050000,51.26
16/12/2011,105369600,51.55
19/12/2011,58882600,51.71
20/12/2011,84303800,53.57
21/12/2011,65737000,53.63
22/12/2011,50589700,53.92
23/12/2011,67349800,54.56
27/12/2011,66269000,55
28/12/2011,57165500,54.47
29/12/2011,53994500,54.81
30/12/2011,44915500,54.79
3/1/2012,75555200,55.63
4/1/2012,65005500,55.93
5/1/2012,67817400,56.55
6/1/2012,79573200,57.14
9/1/2012,98506100,57.05
10/1/2012,64549100,57.26
11/1/2012,53771200,57.16
12/1/2012,53146800,57.01
13/01/2012,56505400,56.79
17/01/2012,60724300,57.45
18/01/2012,69197800,58.05
19/01/2012,65434600,57.87
20/01/2012,103493600,56.86
23/01/2012,76515600,57.82
24/01/2012,136909500,56.87
25/01/2012,239578500,60.43
26/01/2012,80996300,60.15
27/01/2012,74927300,60.51
30/01/2012,94835300,61.28
31/01/2012,97920900,61.75
1/2/2012,67511500,61.71
2/2/2012,46699100,61.57
3/2/2012,71649900,62.19
6/2/2012,62353200,62.77
7/2/2012,79055900,63.42
8/2/2012,101972500,64.49
9/2/2012,221053700,66.72
10/2/2012,157825500,66.75
13/02/2012,129304000,67.99
14/02/2012,115099600,68.92
15/02/2012,376530000,67.33
16/02/2012,236138000,67.94
17/02/2012,133951300,67.93
21/02/2012,151398800,69.65
22/02/2012,120825600,69.41
23/02/2012,142006900,69.86
24/02/2012,103768000,70.67
27/02/2012,136895500,71.13
28/02/2012,150096800,72.43
29/02/2012,238002800,73.38
1/3/2012,170817500,73.66
2/3/2012,107928100,73.75
5/3/2012,202281100,72.13
6/3/2012,202559700,71.74
7/3/2012,199630200,71.79
8/3/2012,129114300,73.32
9/3/2012,104729800,73.75
12/3/2012,101820600,74.68
13/03/2012,172713800,76.85
14/03/2012,354711000,79.76
15/03/2012,289929500,79.22
16/03/2012,206371900,79.22
19/03/2012,225309000,81.32
20/03/2012,204165500,81.98
21/03/2012,161010500,81.51
22/03/2012,155967700,81.08
23/03/2012,107622200,80.64
26/03/2012,148935500,82.11
27/03/2012,151782400,83.13
28/03/2012,163865100,83.55
29/03/2012,152059600,82.5
30/03/2012,182759500,81.11
2/4/2012,149587900,83.69
3/4/2012,208639900,85.14
4/4/2012,143245200,84.46
5/4/2012,160324500,85.73
9/4/2012,149384200,86.07
10/4/2012,222431300,85.02
11/4/2012,174153700,84.71
12/4/2012,153584200,84.25
13/04/2012,214911200,81.88
16/04/2012,262696700,78.48
17/04/2012,256382000,82.48
18/04/2012,238632800,82.3
19/04/2012,208679800,79.47
20/04/2012,257746300,77.51
23/04/2012,241632300,77.34
24/04/2012,269037300,75.8
25/04/2012,226444400,82.52
26/04/2012,134017100,82.21
27/04/2012,101680600,81.58
30/04/2012,126536200,79
1/5/2012,152749800,78.75
2/5/2012,106847300,79.27
3/5/2012,97637400,78.71
4/5/2012,132498100,76.47
7/5/2012,115029600,77.04
8/5/2012,124313000,76.86
9/5/2012,120176000,77
10/5/2012,83300000,77.18
11/5/2012,99886500,76.67
14/05/2012,88156600,75.52
15/05/2012,119084000,74.83
16/05/2012,140224000,73.88
17/05/2012,179305000,71.72
18/05/2012,183073100,71.75
21/05/2012,157776500,75.93
22/05/2012,173717600,75.35
23/05/2012,146224400,77.19
24/05/2012,124057500,76.48
25/05/2012,82126800,76.07
29/05/2012,95127200,77.42
30/05/2012,132357400,78.35
31/05/2012,122918600,78.16
1/6/2012,130246900,75.89
4/6/2012,139248900,76.34
5/6/2012,97053600,76.14
6/6/2012,100363900,77.31
7/6/2012,94941700,77.34
8/6/2012,86879100,78.51
11/6/2012,147816200,77.27
12/6/2012,108845100,77.94
13/06/2012,73395000,77.4
14/06/2012,86393300,77.32
15/06/2012,83813800,77.67
18/06/2012,110103000,79.25
19/06/2012,90351100,79.47
20/06/2012,89735800,79.24
21/06/2012,81587800,78.15
22/06/2012,71117900,78.75
25/06/2012,76095600,77.22
26/06/2012,69134100,77.39
27/06/2012,50749300,77.72
28/06/2012,70709100,76.98
29/06/2012,105375200,79.01
2/7/2012,100023000,80.16
3/7/2012,60428200,81.09
5/7/2012,121095800,82.51
6/7/2012,104732600,81.97
9/7/2012,94851400,83.05
10/7/2012,127989400,82.28
11/7/2012,117330500,81.77
12/7/2012,107010400,81.02
13/07/2012,77856800,81.84
16/07/2012,75315100,82.1
17/07/2012,73406200,82.11
18/07/2012,63175000,82.02
19/07/2012,109215400,83.11
20/07/2012,99367800,81.75
23/07/2012,121993900,81.69
24/07/2012,141283100,81.29
25/07/2012,219328200,77.78
26/07/2012,101658200,77.77
27/07/2012,100984100,79.16
30/07/2012,94785600,80.5
31/07/2012,115581900,82.63
1/8/2012,96125400,82.09
2/8/2012,83039600,82.22
3/8/2012,86230200,83.29
6/8/2012,75525800,84.22
7/8/2012,72611700,84
8/8/2012,61176500,83.86
9/8/2012,55410600,84.33
10/8/2012,48734700,84.47
13/08/2012,69708100,85.59
14/08/2012,85042300,85.82
15/08/2012,64335600,85.71
16/08/2012,63633500,86.46
17/08/2012,110690300,88.05
20/08/2012,153346200,90.37
21/08/2012,203179900,89.13
22/08/2012,141330700,90.88
23/08/2012,105032200,90.03
24/08/2012,109335100,90.11
27/08/2012,106752100,91.8
28/08/2012,66854200,91.68
29/08/2012,50701700,91.5
30/08/2012,75674900,90.2
31/08/2012,84580300,90.38
4/9/2012,91973000,91.7
5/9/2012,84093800,91.06
6/9/2012,97799100,91.88
7/9/2012,82416600,92.45
10/9/2012,121999500,90.04
11/9/2012,125995800,89.75
12/9/2012,178058300,91
13/09/2012,149590000,92.79
14/09/2012,150118500,93.92
17/09/2012,99507800,95.07
18/09/2012,93375800,95.36
19/09/2012,81718700,95.39
20/09/2012,84142100,94.93
21/09/2012,142897300,95.12
24/09/2012,159941600,93.85
25/09/2012,129697400,91.51
26/09/2012,144125800,90.37
27/09/2012,148522500,92.57
28/09/2012,133777700,90.63
1/10/2012,135898700,89.59
2/10/2012,156998100,89.85
3/10/2012,106070300,91.23
4/10/2012,92681400,90.59
5/10/2012,148501500,88.66
8/10/2012,159498500,86.7
9/10/2012,209649300,86.39
10/10/2012,127589000,87.08
11/10/2012,136520300,85.34
12/10/2012,115003700,85.55
15/10/2012,108125500,86.24
16/10/2012,137442900,88.28
17/10/2012,97259400,87.58
18/10/2012,119156100,85.95
19/10/2012,186021500,82.86
22/10/2012,136682700,86.14
23/10/2012,176786400,83.33
24/10/2012,139631800,83.8
25/10/2012,164081400,82.81
26/10/2012,254608200,82.06
31/10/2012,127500800,80.88
1/11/2012,90324500,81.05
2/11/2012,149843400,78.37
5/11/2012,132283900,79.43
6/11/2012,93729300,79.19
7/11/2012,198412200,76.16
8/11/2012,264036500,73.39
9/11/2012,232478400,74.66
12/11/2012,128950500,74.09
13/11/2012,133237300,74.1
14/11/2012,119292600,73.28
15/11/2012,197477700,71.74
16/11/2012,316723400,72.02
19/11/2012,205829400,77.21
20/11/2012,160688500,76.56
21/11/2012,93250500,76.66
23/11/2012,68206600,78
26/11/2012,157644900,80.46
27/11/2012,133332500,79.81
28/11/2012,130216100,79.56
29/11/2012,128674700,80.44
30/11/2012,97829900,79.88
3/12/2012,91070000,80.01
4/12/2012,139267100,78.59
5/12/2012,261159500,73.54
6/12/2012,294303100,74.69
7/12/2012,196760200,72.78
10/12/2012,157621100,72.31
11/12/2012,148086400,73.89
12/12/2012,121786000,73.56
13/12/2012,156314900,72.29
14/12/2012,252394800,69.58
17/12/2012,189401800,70.81
18/12/2012,156421300,72.87
19/12/2012,112342300,71.83
20/12/2012,120422400,71.21
21/12/2012,149067100,70.88
24/12/2012,43938300,70.99
26/12/2012,75609100,70.02
27/12/2012,113780100,70.3
28/12/2012,88569600,69.55
31/12/2012,164873100,72.63
2/1/2013,140129500,74.93
3/1/2013,88241300,73.99
4/1/2013,148583400,71.93
7/1/2013,121039100,71.5
8/1/2013,114676800,71.7
9/1/2013,101901100,70.58
10/1/2013,150286500,71.45
11/1/2013,87626700,71.01
14/01/2013,183551900,68.48
15/01/2013,219193100,66.32
16/01/2013,172701200,69.07
17/01/2013,113419600,68.61
18/01/2013,118230700,68.24
22/01/2013,115386600,68.89
23/01/2013,215377400,70.15
24/01/2013,365213100,61.49
25/01/2013,302006600,60.04
28/01/2013,196379400,61.39
29/01/2013,142789500,62.55
30/01/2013,104288800,62.35
31/01/2013,79833600,62.17
1/2/2013,134871100,61.91
